Algoritmo,R²_mean,R²_median,R²_std,R²_min,R²_max,RMSE_mean,MAE_mean,N_wells,N_problematic
XGBoost,0.797340898044955,0.8245181486995861,0.12812977893947375,0.3837191247646667,0.9297624203231288,4.420073009678178,3.322856920935209,27,4
HistGradientBoosting,0.7971314880625097,0.8182652824099259,0.13160223556180786,0.3921414623126946,0.9305769519018808,4.425637568410985,3.314380010874708,27,4
LightGBM,0.7944352122927197,0.8163786543306408,0.13347072650853334,0.3935325466011043,0.9312258976625584,4.449270004181891,3.3441932736066353,27,4
RandomForest,0.7929848409558617,0.815573372694947,0.13769586792592603,0.3639707300496789,0.9307729914476378,4.445791186900722,3.3420540248057002,27,4
