Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
LGBMRegressor,0.9015345010669193,0.9015768108741739,3.283599924142563,0.36858630180358887
HistGradientBoostingRegressor,0.9001367266376825,0.9001796370570024,3.306824089885669,0.6448855400085449
XGBRegressor,0.8788652578648322,0.8789173084576499,3.6420219055815894,0.4246847629547119
GradientBoostingRegressor,0.8784703800343107,0.8785226003028532,3.6479532492993942,30.38983678817749
MLPRegressor,0.8760845183185316,0.8761377637720418,3.6835873997802158,73.83993983268738
SVR,0.8694832757113983,0.8695393576640413,3.780430659811119,1520.0859942436218
NuSVR,0.867772299495015,0.8678291166399307,3.8051292813941746,1848.118254184723
ExtraTreesRegressor,0.8661963555142209,0.8662538498291787,3.8277376628450597,38.80688261985779
RandomForestRegressor,0.8507334565794177,0.8507975951736472,4.042866791610303,124.71649122238159
BaggingRegressor,0.8361209555742874,0.8361913730388597,4.236136106650282,13.120553255081177
KNeighborsRegressor,0.7681279268176069,0.7682275603220359,5.03886144474608,0.27711057662963867
ExtraTreeRegressor,0.657085495064826,0.657232842580106,6.127751174758706,0.44049978256225586
DecisionTreeRegressor,0.629583433101166,0.6297425980241003,6.3687381778294245,1.9475574493408203
Lasso,0.5967823284787838,0.5969555877640007,6.644739701316663,0.04403519630432129
LassoLars,0.5967819728122459,0.5969552322502898,6.64474263188148,0.03891110420227051
LassoCV,0.5952660168137148,0.5954399276454632,6.657221844959623,0.3783457279205322
LarsCV,0.5940468667462755,0.5942213014366842,6.667240832820214,0.19619202613830566
LassoLarsCV,0.5940468667462755,0.5942213014366842,6.667240832820214,0.2048485279083252
ElasticNetCV,0.5878714489080927,0.5880485371242672,6.717760944603941,0.3744351863861084
BayesianRidge,0.5848126996403316,0.5849911021756671,6.742643910475254,0.06187796592712402
Ridge,0.5848126841092771,0.5849910866512862,6.742644036587454,0.043399810791015625
RidgeCV,0.5848126429340168,0.5849910454937186,6.74264437093066,0.0922698974609375
LinearRegression,0.5848126386282677,0.5849910411898197,6.74264440589335,0.03945803642272949
TransformedTargetRegressor,0.5848126386282677,0.5849910411898197,6.74264440589335,0.03976917266845703
LassoLarsIC,0.5848126386282664,0.5849910411898183,6.742644405893364,0.0773763656616211
Lars,0.5848126386282664,0.5849910411898183,6.742644405893364,0.04298543930053711
SGDRegressor,0.5836624266209774,0.5838413234190778,6.751977670069645,0.2035365104675293
OrthogonalMatchingPursuitCV,0.5759999220842493,0.5761821113969212,6.8138279320320985,0.14438152313232422
OrthogonalMatchingPursuit,0.5738089023510768,0.5739920331267343,6.831410469407376,0.03733992576599121
ElasticNet,0.5596209074943415,0.5598101347335747,6.944189121473811,0.049880266189575195
HuberRegressor,0.540255339986818,0.5404528884496015,7.0952310233868126,0.35715413093566895
TweedieRegressor,0.5187138254696412,0.5189206301423366,7.259553115585425,0.04787158966064453
LinearSVR,0.5105492461234874,0.5107595590481309,7.320869999329263,1.6373016834259033
GammaRegressor,0.47375722219699556,0.47398334434880696,7.591039797976028,0.21564960479736328
AdaBoostRegressor,0.4719253708227087,0.4721522801058442,7.604240526698129,10.615959405899048
PoissonRegressor,0.45679850401642075,0.4570319131886126,7.71238449227711,0.06084299087524414
PassiveAggressiveRegressor,0.31967813856049776,0.319970467215107,8.631085274511511,0.21600055694580078
RANSACRegressor,0.05114633812402014,0.051554052663444705,10.193135865929769,0.12116575241088867
DummyRegressor,-0.14415626434337048,-0.1436646298974178,11.193112412427949,0.02777862548828125
QuantileRegressor,-0.27849927059092994,-0.2779499100707492,11.832007501446071,1955.7057614326477
