Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
LGBMRegressor,0.9169733700755494,0.9170120365698674,2.997611522742972,0.35117387771606445
HistGradientBoostingRegressor,0.916834889544673,0.91687362053103,3.000110346844644,0.6073081493377686
MLPRegressor,0.9122894729967017,0.9123303208378954,3.08100572041897,65.53144454956055
SVR,0.9020294868928732,0.9020751129322757,3.2562244708592125,1421.589882850647
GradientBoostingRegressor,0.901944857370681,0.9019905228230639,3.2576305737075044,26.33819556236267
NuSVR,0.9013674268022499,0.901413361170953,3.2672083186440086,1577.7073698043823
XGBRegressor,0.9010318166282244,0.9010779072945985,3.2727621491246763,0.31841087341308594
ExtraTreesRegressor,0.8825877680376253,0.8826424483179663,3.564702710776082,32.10437870025635
RandomForestRegressor,0.8719562233927738,0.872015854910579,3.722595790834556,126.95813798904419
BaggingRegressor,0.8550341758291701,0.8551016881468652,3.9609509000353404,11.429183959960938
KNeighborsRegressor,0.7918390587666673,0.7919360018060122,4.746421099383588,0.23682379722595215
OrthogonalMatchingPursuitCV,0.7375776209250781,0.7376998341648382,5.329262084188419,0.14118528366088867
LarsCV,0.7368003253893813,0.7369229006249667,5.337148890028155,0.1660139560699463
LassoLarsCV,0.7368003253893813,0.7369229006249667,5.337148890028155,0.17473793029785156
LassoLarsIC,0.7368003253893813,0.7369229006249667,5.337148890028155,0.059473514556884766
Lars,0.7368003253893813,0.7369229006249667,5.337148890028155,0.035047054290771484
LinearRegression,0.736800325389381,0.7369229006249663,5.337148890028159,0.0377197265625
TransformedTargetRegressor,0.736800325389381,0.7369229006249663,5.337148890028159,0.03969836235046387
RidgeCV,0.7368002664828368,0.7369228417458557,5.337149487279998,0.1014699935913086
Ridge,0.7367997289980586,0.7369223045113905,5.3371549368203635,0.04562711715698242
BayesianRidge,0.7367996311428702,0.7369222067017743,5.33715592897028,0.04804873466491699
LassoCV,0.7367568504277513,0.7368794459101461,5.337589663297815,0.31634020805358887
SGDRegressor,0.7336511220816846,0.7337751639389059,5.368983634835787,0.4594414234161377
ElasticNetCV,0.7271873100322106,0.7273143621639921,5.433740930755296,0.32322096824645996
PoissonRegressor,0.7266083298061059,0.7267356515759016,5.439503787950599,0.05219268798828125
HuberRegressor,0.7180079204938983,0.7181392475771471,5.524399782892786,0.330120325088501
ExtraTreeRegressor,0.7072316672358534,0.7073680129490978,5.628966891176402,0.3735768795013428
Lasso,0.7038735293530737,0.7040114389912839,5.661157787912267,0.03798484802246094
LassoLars,0.7038502494555449,0.7039881699354817,5.661380308686634,0.030407190322875977
LinearSVR,0.7003909465120502,0.7005304780307313,5.694349389484019,1.6919574737548828
DecisionTreeRegressor,0.6910211981676382,0.6911650932901588,5.782704322381823,1.7770195007324219
ElasticNet,0.6284599289047597,0.6286329595584308,6.3411711396799335,0.03618144989013672
PassiveAggressiveRegressor,0.6107153588134762,0.6108966533256133,6.490830663405715,0.1893301010131836
AdaBoostRegressor,0.5870765739637667,0.5872688773406609,6.684999905432664,7.962105989456177
OrthogonalMatchingPursuit,0.5753535341333018,0.5755512970700193,6.779230513612338,0.029517650604248047
TweedieRegressor,0.5592917906592196,0.5594970337419258,6.906248716658992,0.04886007308959961
GammaRegressor,0.5434716528452503,0.5436842635553003,7.029112902820862,0.049768686294555664
RANSACRegressor,0.5328173694414196,0.5330349419786456,7.110661230911311,0.10804319381713867
DummyRegressor,-0.10888647508704774,-0.10837005339647288,10.954944651398362,0.025472640991210938
QuantileRegressor,-0.22891247369922496,-0.22834015446592693,11.532597120168449,1790.5306947231293
