Well_Name,R2,RMSE,MAE,N_samples_train,N_samples_test,Time_seconds
1-BRSA-1013-SES,0.6679088080726114,6.917711043895429,5.390433393808684,227077,4738,1.7347660064697266
1-BRSA-1088-SES,0.8075408613519839,4.486729804231801,3.1393482671074433,225925,5890,1.596264123916626
1-BRSA-1104-SES,0.7254390311195738,3.40766589661224,2.9778629187581984,226870,4945,1.748492956161499
1-BRSA-1131-SES,0.753191722831119,4.567001313321478,3.371821885055027,220296,11519,1.5551419258117676
1-BRSA-930D-SES,0.5905143227916361,5.196168527187619,3.9428500120136745,222303,9512,1.5802643299102783
1-BRSA-978-SES,0.8771779014231234,3.8077662481810006,2.8956908407645283,226761,5054,1.5712661743164062
3-BRSA-1069-SES,0.39214146231269464,6.317451566475356,4.580660612325247,221213,10602,1.529222011566162
3-BRSA-1163-SES,0.9171837754721466,2.994508222530627,2.173304397761914,223225,8590,1.5931205749511719
3-BRSA-1178D-SES,0.7195624250116968,5.691328327849886,4.3967640966883765,228379,3436,1.531848669052124
3-BRSA-1180D-SES,0.8293857935364135,5.603133649191998,4.582913535097919,218884,12931,1.5311942100524902
3-BRSA-1194-SES,0.8182652824099259,4.431284299053574,2.866191511582169,227969,3846,1.5843696594238281
3-BRSA-1207-SES,0.5071812069503908,7.661101144256369,5.900398840480739,223757,8058,1.4972214698791504
3-BRSA-1234D-SES,0.8504157352090383,3.3659231806920116,2.4353820569527733,226016,5799,1.5174922943115234
3-BRSA-1239-SES,0.9031796371809584,2.9427400136102175,2.3307364888291775,224038,7777,1.5816905498504639
3-BRSA-1244-SES,0.8768261672693494,3.27923969817603,2.3840060557101435,221692,10123,1.6012628078460693
3-BRSA-1248D-SES,0.7771501288065547,4.932618505089151,3.8467473077127528,218157,13658,1.5500545501708984
3-BRSA-1251-SES,0.8168705870309676,3.941489255970693,3.259293372496384,225784,6031,1.6476070880889893
3-BRSA-1286-SES,0.8549801300095737,2.9536927942010824,2.1869349500670787,226343,5472,1.5552449226379395
3-BRSA-1296-SES,0.8123166116084364,4.670240659814156,3.144564477175231,226582,5233,1.583740234375
3-BRSA-1297-SES,0.9202911696739688,3.9785567938826785,2.7899915545321328,214189,17626,1.6071622371673584
3-BRSA-1303-SES,0.9098622920229656,2.630265969610958,1.9869274667181607,224156,7659,1.7883634567260742
3-BRSA-1333-SES,0.7843947456742499,4.4316990477935585,3.6848289919193857,224555,7260,1.5643715858459473
3-BRSA-1367-SES,0.8810766116967532,4.57604495481034,3.3252376140729547,222024,9791,1.581968069076538
3-BRSA-1371-SES,0.9126005006193972,4.216719376679181,3.0399109660563126,223023,8792,1.5526955127716064
4-BRSA-197-SES,0.7656902587058814,4.273157851973344,3.115968018068742,227299,4516,1.5582258701324463
9-BRSA-1278A-SES,0.9305769519018809,3.984298808849586,2.791777732093495,220696,11119,1.608888864517212
9-BRSA-1280D-SES,0.9208260569944726,4.2336773931562295,2.9477129297684654,209977,21838,1.5520389080047607
