mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.797027587890625,0.3407874784533515,0.03761699199676514,0.0029654743940139036,0.6872700594236812,0.1911285751537849,6,17,288,40,1.5601864044243652,1.5599452033620265,0.5290418060840998,"{'colsample_bytree': 0.6872700594236812, 'learning_rate': 0.1911285751537849, 'max_depth': 6, 'min_child_samples': 17, 'n_estimators': 288, 'num_leaves': 40, 'reg_alpha': 1.5601864044243652, 'reg_lambda': 1.5599452033620265, 'subsample': 0.5290418060840998}",0.91888396105532,0.9319164929090007,0.8531882264133079,0.8780474838149407,0.9311569827820313,0.9108493518138197,0.7302723106907039,0.824127908786264,0.9033707666727435,0.9034194119708543,0.8785232896908987,0.05925505376032688,41
1.4819645404815673,0.02821722176670309,0.03615627288818359,0.003863268144292086,0.9330880728874675,0.12820070211377757,6,31,408,21,7.219987722668248,9.385527090157503,0.5003893829205072,"{'colsample_bytree': 0.9330880728874675, 'learning_rate': 0.12820070211377757, 'max_depth': 6, 'min_child_samples': 31, 'n_estimators': 408, 'num_leaves': 21, 'reg_alpha': 7.219987722668248, 'reg_lambda': 9.385527090157503, 'subsample': 0.5003893829205072}",0.9218566487347429,0.9330969027749465,0.8615890154988517,0.8795190047008816,0.9340909179451651,0.9127179805460635,0.731172956846295,0.8453671161812735,0.9079358720734203,0.9076144916092875,0.8834960906910927,0.05803138935020674,27
1.47299063205719,0.06192399441660114,0.053370189666748044,0.012774343982949065,0.9961057796456088,0.13114667173298897,5,31,352,44,2.9122914019804194,6.118528947223795,0.569746930326021,"{'colsample_bytree': 0.9961057796456088, 'learning_rate': 0.13114667173298897, 'max_depth': 5, 'min_child_samples': 31, 'n_estimators': 352, 'num_leaves': 44, 'reg_alpha': 2.9122914019804194, 'reg_lambda': 6.118528947223795, 'subsample': 0.569746930326021}",0.9215173375888239,0.9338647988788075,0.8580743179463256,0.8797197616141107,0.9326249300096064,0.9122227026098453,0.7301879078464304,0.8439163382142361,0.90859897317888,0.9059360499243834,0.882666311781145,0.05837703926931523,30
1.737149214744568,0.02533624921928099,0.040274977684020996,0.002876972735660631,0.6460723242676091,0.0859451317928645,6,12,406,26,1.7052412368729153,0.6505159298527952,0.9744427686266666,"{'colsample_bytree': 0.6460723242676091, 'learning_rate': 0.0859451317928645, 'max_depth': 6, 'min_child_samples': 12, 'n_estimators': 406, 'num_leaves': 26, 'reg_alpha': 1.7052412368729153, 'reg_lambda': 0.6505159298527952, 'subsample': 0.9744427686266666}",0.9228557207631785,0.9331213732123504,0.8664994493830724,0.8838805962472258,0.9342744522220245,0.9131105177984491,0.731295801422779,0.8406983711535229,0.9064883998630986,0.9075708295534944,0.8839795511619195,0.05818832695715311,22
0.5065509080886841,0.013333130005617474,0.016614627838134766,0.001111379135900478,0.9828160165372797,0.165511522660963,4,35,152,21,6.842330265121569,4.4015249373960135,0.5610191174223894,"{'colsample_bytree': 0.9828160165372797, 'learning_rate': 0.165511522660963, 'max_depth': 4, 'min_child_samples': 35, 'n_estimators': 152, 'num_leaves': 21, 'reg_alpha': 6.842330265121569, 'reg_lambda': 4.4015249373960135, 'subsample': 0.5610191174223894}",0.92854293303492,0.9303905641334191,0.870001306922182,0.8902328482719012,0.9349286974441202,0.9134377139428935,0.7234378091075824,0.8467980674815057,0.9072210991471822,0.9138649726769635,0.885885601216267,0.06032500509854187,14
0.5309816122055053,0.017817620891089014,0.017661547660827635,0.001175971636025419,0.7475884550556351,0.02618993380073931,4,45,149,59,7.553614103176525,4.2515587449124475,0.6039708314340944,"{'colsample_bytree': 0.7475884550556351, 'learning_rate': 0.02618993380073931, 'max_depth': 4, 'min_child_samples': 45, 'n_estimators': 149, 'num_leaves': 59, 'reg_alpha': 7.553614103176525, 'reg_lambda': 4.2515587449124475, 'subsample': 0.6039708314340944}",0.9227108078936446,0.9208517046824268,0.8630611372688506,0.8895615599886023,0.9241387270877828,0.9117672400674509,0.7059376809087184,0.8862195244286957,0.9076681276368279,0.8894518357697736,0.8821368345732772,0.061623358748794696,33
0.7478897094726562,0.04178280789632383,0.019039463996887208,0.0012390939091396756,0.7838501639099957,0.025636392642000544,5,35,143,53,3.9515023600181443,9.266588657937941,0.8636359979282104,"{'colsample_bytree': 0.7838501639099957, 'learning_rate': 0.025636392642000544, 'max_depth': 5, 'min_child_samples': 35, 'n_estimators': 143, 'num_leaves': 53, 'reg_alpha': 3.9515023600181443, 'reg_lambda': 9.266588657937941, 'subsample': 0.8636359979282104}",0.9285245495328156,0.9263277393733588,0.8656661408519343,0.8865197512149324,0.9275742190762922,0.9152514288035642,0.7224124025840636,0.8756516452466818,0.9089248153635506,0.8925814619429823,0.8849434153990176,0.05818775746577217,18
1.7163631916046143,0.025056335454939606,0.03349156379699707,0.002557635599681737,0.6632703844029177,0.12267991539297189,7,49,312,35,7.473201101373808,5.396921323890798,0.7933755828319241,"{'colsample_bytree': 0.6632703844029177, 'learning_rate': 0.12267991539297189, 'max_depth': 7, 'min_child_samples': 49, 'n_estimators': 312, 'num_leaves': 35, 'reg_alpha': 7.473201101373808, 'reg_lambda': 5.396921323890798, 'subsample': 0.7933755828319241}",0.9192890174367555,0.9336795503180895,0.855769498633776,0.8807062232485339,0.9341201757826375,0.9119508822256254,0.7365243611909392,0.8502661260633808,0.9044692382279819,0.9073739561564731,0.8834149029284193,0.05627025229100052,28
0.5220052242279053,0.012588911384517645,0.01197810173034668,0.0014056248171099358,0.982627653632069,0.12926616458360324,8,38,114,20,0.1563640674119393,4.234014807063696,0.6974407590877849,"{'colsample_bytree': 0.982627653632069, 'learning_rate': 0.12926616458360324, 'max_depth': 8, 'min_child_samples': 38, 'n_estimators': 114, 'num_leaves': 20, 'reg_alpha': 0.1563640674119393, 'reg_lambda': 4.234014807063696, 'subsample': 0.6974407590877849}",0.9250196226217845,0.9332366468318011,0.8699877477430626,0.8848094420909799,0.9352618928601204,0.9108187013666582,0.7271668990469663,0.8593041029941539,0.9109362295380594,0.9137778152736286,0.8870319100367213,0.058632535751609566,7
3.1375789403915406,0.08832915673669856,0.09998517036437989,0.0036832106207959747,0.6467440873590191,0.0225343680887152,6,26,491,54,7.9017554053120564,6.059599747810114,0.9631504392566745,"{'colsample_bytree': 0.6467440873590191, 'learning_rate': 0.0225343680887152, 'max_depth': 6, 'min_child_samples': 26, 'n_estimators': 491, 'num_leaves': 54, 'reg_alpha': 7.9017554053120564, 'reg_lambda': 6.059599747810114, 'subsample': 0.9631504392566745}",0.9291142453211151,0.9347203561295383,0.8648561225504944,0.8879993536574038,0.9337109674146411,0.9147083561522522,0.7287191535806071,0.8585746116904462,0.9101461020724879,0.9125238166681512,0.8875073085237138,0.05876846282204893,4
