mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.5434954166412354,0.08671952082062206,0.008811450004577637,0.005477283182550707,0.6872700594236812,10.50714306409916,0.3686770314875885,5,3,221,2.5599452033620267,146.46688973455957,0.8795585311974417,"{'colsample_bytree': 0.6872700594236812, 'gamma': 10.50714306409916, 'learning_rate': 0.3686770314875885, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 221, 'reg_alpha': 2.5599452033620267, 'reg_lambda': 146.46688973455957, 'subsample': 0.8795585311974417}",0.9289657594868442,0.9291306239736987,0.8650184295075452,0.8845941760158622,0.9319117917844213,0.9082675273197238,0.7142576162925491,0.824766616188888,0.9041951704705654,0.8989607781507144,0.8790068489190812,0.06325126345349358,34
0.46991629600524903,0.0124951149927994,0.009790992736816407,0.0032772210781549806,0.8005575058716043,8.080725777960454,0.020086402204943198,2,4,393,1.0077876584101433,893.769247432974,0.6557333586649449,"{'colsample_bytree': 0.8005575058716043, 'gamma': 8.080725777960454, 'learning_rate': 0.020086402204943198, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 393, 'reg_alpha': 1.0077876584101433, 'reg_lambda': 893.769247432974, 'subsample': 0.6557333586649449}",0.921343374327316,0.9145248517283534,0.8269057762112177,0.900441751002669,0.9096880939280313,0.9018020385711085,0.6563525988894201,0.8801864563924786,0.9019795970579202,0.8839157827413112,0.8697140320849825,0.07546749833516307,39
0.27793800830841064,0.008381766520128005,0.006574487686157227,0.0020215607493419595,0.8058265802441404,1.070663052197174,0.02130058827029372,3,4,154,10.832308858067883,473.41031459838393,0.8739463660626885,"{'colsample_bytree': 0.8058265802441404, 'gamma': 1.070663052197174, 'learning_rate': 0.02130058827029372, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 154, 'reg_alpha': 10.832308858067883, 'reg_lambda': 473.41031459838393, 'subsample': 0.8739463660626885}",0.9110697632679262,0.9018869821759345,0.8478455714293837,0.8923241347698018,0.9033206917773272,0.9069217256361592,0.6934700183736455,0.8801789197380948,0.906150646194083,0.8481498002546832,0.869131825361704,0.06261739463385871,40
0.5190869092941284,0.012849095148514648,0.004995203018188477,0.001736728748083922,0.8401537692938899,5.5049925196954295,0.0164998309683346,9,4,113,9.08397348116461,343.69101533869656,0.1879049026057455,"{'colsample_bytree': 0.8401537692938899, 'gamma': 5.5049925196954295, 'learning_rate': 0.0164998309683346, 'max_depth': 9, 'min_child_weight': 4, 'n_estimators': 113, 'reg_alpha': 9.08397348116461, 'reg_lambda': 343.69101533869656, 'subsample': 0.1879049026057455}",0.8581859988563287,0.8625213727270512,0.8340308781564704,0.8479498970081195,0.828541621025033,0.8812902421654233,0.699016817833467,0.802173026744026,0.8785592910581326,0.73596312060093,0.8228232266174981,0.05782747265091498,50
0.6132173538208008,0.012573196553515227,0.006316494941711426,0.0014825339363868282,0.8421165132560784,5.4015249373960135,0.06979873507394162,8,3,134,10.093204020787821,307.02398528001356,0.6962700559185838,"{'colsample_bytree': 0.8421165132560784, 'gamma': 5.4015249373960135, 'learning_rate': 0.06979873507394162, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 134, 'reg_alpha': 10.093204020787821, 'reg_lambda': 307.02398528001356, 'subsample': 0.6962700559185838}",0.9258065411761779,0.934590798434173,0.8662109374517495,0.8909223376038009,0.9320426978354219,0.9153517145665254,0.7245752644646867,0.8596868767433834,0.911225144947703,0.9078807063143286,0.886829301953795,0.05933079935090111,8
1.0468119859695435,0.2659710322123562,0.01180264949798584,0.003625660649674201,0.6558555380447055,6.200680211778108,0.277888036878207,6,1,290,9.422847745949985,459.8033066958125,0.45563521240163296,"{'colsample_bytree': 0.6558555380447055, 'gamma': 6.200680211778108, 'learning_rate': 0.277888036878207, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 290, 'reg_alpha': 9.422847745949985, 'reg_lambda': 459.8033066958125, 'subsample': 0.45563521240163296}",0.9296987013461988,0.9301505330976306,0.865231043485971,0.8873867707330079,0.9328364616545455,0.9090478518074417,0.7162575156093445,0.8403395159408025,0.9040335494893215,0.8985959347243084,0.8813577877888573,0.06179217775852741,27
1.1201510429382324,0.10483433908197369,0.010826873779296874,0.0028488142849861825,0.9633294328968971,8.27271995856421,0.17000497671485934,7,4,289,4.253303307632644,410.9418317515856,0.34421412859650635,"{'colsample_bytree': 0.9633294328968971, 'gamma': 8.27271995856421, 'learning_rate': 0.17000497671485934, 'max_depth': 7, 'min_child_weight': 4, 'n_estimators': 289, 'reg_alpha': 4.253303307632644, 'reg_lambda': 410.9418317515856, 'subsample': 0.34421412859650635}",0.9238755231225568,0.9326435195953606,0.8549387629836279,0.8847406903043495,0.9339057886727923,0.9131635228889674,0.7269208931864359,0.8615670839797076,0.9072323689963276,0.90725604984653,0.8846244203576656,0.058648292052416104,15
0.8191616535186768,0.07266683253685013,0.00922856330871582,0.004052843240658481,0.9143687545759647,4.567533266935893,0.14765790974681658,9,1,114,2.6526693906300247,112.50912539295514,0.4810613326357327,"{'colsample_bytree': 0.9143687545759647, 'gamma': 4.567533266935893, 'learning_rate': 0.14765790974681658, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 114, 'reg_alpha': 2.6526693906300247, 'reg_lambda': 112.50912539295514, 'subsample': 0.4810613326357327}",0.9191117336858255,0.9325389960353504,0.8526958466385939,0.8862761677754184,0.9325997413194241,0.9134670943018672,0.7288609971331863,0.8445360627933209,0.9074706066795258,0.9071955349980154,0.8824752781360529,0.058732793602345845,22
0.8898694515228271,0.009543067045993794,0.012375926971435547,0.0020822637807212693,0.6974407590877849,3.9348817471803814,0.016899113130391386,3,1,491,8.290071680409874,717.0162773487566,0.16664018656068133,"{'colsample_bytree': 0.6974407590877849, 'gamma': 3.9348817471803814, 'learning_rate': 0.016899113130391386, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 491, 'reg_alpha': 8.290071680409874, 'reg_lambda': 717.0162773487566, 'subsample': 0.16664018656068133}",0.9206385031960931,0.9190226368872486,0.8451621655922692,0.8971133129983788,0.9121608258531575,0.9032765644527674,0.6819671191656161,0.8781950781334636,0.8985988001604408,0.8784554411194728,0.8734590447558908,0.06737777912704859,37
0.6590250730514526,0.014110435258525683,0.00853726863861084,0.0009138447755915077,0.6792328642721364,2.158690595251297,0.4329206786790408,8,4,132,1.6355835028602363,348.7858573725298,0.3926649898240724,"{'colsample_bytree': 0.6792328642721364, 'gamma': 2.158690595251297, 'learning_rate': 0.4329206786790408, 'max_depth': 8, 'min_child_weight': 4, 'n_estimators': 132, 'reg_alpha': 1.6355835028602363, 'reg_lambda': 348.7858573725298, 'subsample': 0.3926649898240724}",0.9281920528321453,0.9285953304912066,0.8644400867650475,0.8856615702173651,0.9299391018413801,0.9077296178597705,0.7161668066854512,0.8392052163497294,0.9031339742021136,0.8936940166906712,0.8796757773934882,0.061194914196803424,33
