mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_depth,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.1762682914733886,0.061577179406128675,0.08545701503753662,0.024911330588508442,3.745401188473625,0.1911285751537849,6,171,48,30,"{'l2_regularization': 3.745401188473625, 'learning_rate': 0.1911285751537849, 'max_depth': 6, 'max_iter': 171, 'max_leaf_nodes': 48, 'min_samples_leaf': 30}",0.9145903668977539,0.9342078930701135,0.8570006350499475,0.8824093361132282,0.9320533188320347,0.910801888018441,0.7259043604930294,0.8574262170496816,0.9055546052198792,0.9066200854686037,0.8826568706212713,0.05820153616858627,37
1.2750378131866456,0.08876335773847885,0.09736716747283936,0.035799234409949275,1.5601864044243652,0.04807901366051648,6,187,40,45,"{'l2_regularization': 1.5601864044243652, 'learning_rate': 0.04807901366051648, 'max_depth': 6, 'max_iter': 187, 'max_leaf_nodes': 40, 'min_samples_leaf': 45}",0.919961856413408,0.9335281461562223,0.8693983318626803,0.8902990220442857,0.9332216504289159,0.9109569431315264,0.7282316490756704,0.866756488156501,0.9101955684487825,0.9137063087136368,0.8876255964431629,0.057573403027665664,8
2.1400461196899414,0.09600979599953383,0.12621657848358153,0.006067683103391138,1.4286681792194078,0.1371599251307935,8,357,43,39,"{'l2_regularization': 1.4286681792194078, 'learning_rate': 0.1371599251307935, 'max_depth': 8, 'max_iter': 357, 'max_leaf_nodes': 43, 'min_samples_leaf': 39}",0.9109922097877109,0.9332924637020462,0.8495602530049543,0.8753172547158505,0.932242624416321,0.9099576293809983,0.7271249513209285,0.8509804137811657,0.9047353698719743,0.9035365295568349,0.8797739699538785,0.05809825656843632,47
1.6082274198532105,0.060970176241704095,0.09895899295806884,0.005428648268969045,2.1233911067827616,0.05272849409727812,8,260,31,31,"{'l2_regularization': 2.1233911067827616, 'learning_rate': 0.05272849409727812, 'max_depth': 8, 'max_iter': 260, 'max_leaf_nodes': 31, 'min_samples_leaf': 31}",0.9195218498933588,0.9328222238955853,0.8676971176833569,0.8885131570815655,0.9346317017741477,0.9107822743332238,0.7293234535144253,0.8591567506209576,0.9103809611928495,0.9116672110699349,0.8864496701059406,0.05758112996947652,16
1.14059157371521,0.047858540163805044,0.06650288105010986,0.0015301593222961593,0.07066305219717406,0.024151236507454835,6,158,29,37,"{'l2_regularization': 0.07066305219717406, 'learning_rate': 0.024151236507454835, 'max_depth': 6, 'max_iter': 158, 'max_leaf_nodes': 29, 'min_samples_leaf': 37}",0.9191295947907585,0.9268330154950558,0.8678080103003022,0.8893684517579565,0.9301172710934408,0.9116278724260687,0.7206022618711112,0.8820608240272767,0.9096402224386236,0.9040343130703375,0.8861221837270931,0.058280526574019005,18
2.8609532833099367,0.12827944407871086,0.18720200061798095,0.006580048722044049,9.737555188414591,0.061898841277454764,6,463,42,12,"{'l2_regularization': 9.737555188414591, 'learning_rate': 0.061898841277454764, 'max_depth': 6, 'max_iter': 463, 'max_leaf_nodes': 42, 'min_samples_leaf': 12}",0.9178253050621697,0.9345009627271944,0.8603112078837389,0.8852969474376371,0.9319672283662579,0.9114649488013247,0.7313721379361346,0.8570665709077997,0.9092199805654599,0.9082213775590722,0.884724666724679,0.05705318822477802,26
1.214580512046814,0.07828466081335297,0.12544424533843995,0.05260622377843169,8.599404067363206,0.14245535694580033,4,266,37,13,"{'l2_regularization': 8.599404067363206, 'learning_rate': 0.14245535694580033, 'max_depth': 4, 'max_iter': 266, 'max_leaf_nodes': 37, 'min_samples_leaf': 13}",0.9282467032939594,0.9310615019419414,0.8703094844607512,0.8894098620452906,0.9341880728000758,0.9133144284335062,0.7285894499093836,0.8499508817560123,0.9071431172638582,0.9086163031210193,0.8860829805025798,0.058461432258556364,19
1.965835952758789,0.08571893953809968,0.13969428539276124,0.0030365558458445227,9.422017556848527,0.12139187921219707,5,364,45,11,"{'l2_regularization': 9.422017556848527, 'learning_rate': 0.12139187921219707, 'max_depth': 5, 'max_iter': 364, 'max_leaf_nodes': 45, 'min_samples_leaf': 11}",0.9210028684685758,0.9328121416517063,0.8607675303328963,0.8836996943411257,0.9314223881131775,0.9121580616709466,0.7298156078892077,0.8447852281385185,0.9088429381772143,0.9069629207584736,0.8832269379541842,0.058122758683466565,32
2.0240733861923217,0.042623270306374375,0.1295708656311035,0.0034898992163066057,6.842330265121569,0.09922744887312823,7,363,34,44,"{'l2_regularization': 6.842330265121569, 'learning_rate': 0.09922744887312823, 'max_depth': 7, 'max_iter': 363, 'max_leaf_nodes': 34, 'min_samples_leaf': 44}",0.9141751543508382,0.9342372164172832,0.8595104253449557,0.8806546970116572,0.9332600195971983,0.9118612413576885,0.726207787473863,0.8573328371074335,0.9070806995246616,0.9072150559675237,0.8831535134153103,0.05824264631900324,34
0.8512173891067505,0.07773784871876603,0.04807212352752686,0.0021325240072803623,9.093204020787821,0.06658039668800304,7,101,49,15,"{'l2_regularization': 9.093204020787821, 'learning_rate': 0.06658039668800304, 'max_depth': 7, 'max_iter': 101, 'max_leaf_nodes': 49, 'min_samples_leaf': 15}",0.920047843708777,0.9337205088303459,0.865577424128863,0.888002471993951,0.9327792970457565,0.9107758905083713,0.7292771180140338,0.8724472402416841,0.9107134797528623,0.9146227878882418,0.8877964062112886,0.05727410397064786,4
