Well_Name,R2,RMSE,MAE,N_samples_test
1-BRSA-1013-SES,-0.3261140975822372,13.823696328062926,10.917780758440134,4738
1-BRSA-1088-SES,-2.5984869071429326,19.400843446716674,16.400887123650424,5890
1-BRSA-1104-SES,-4.1618430719831,14.775425863947445,13.840993227509536,4945
1-BRSA-1131-SES,-2.3682558329145986,16.87150447770513,14.263064910522102,11519
1-BRSA-930D-SES,-1.7154352630997485,13.380846754950326,12.045767809808769,9512
1-BRSA-978-SES,0.17146289063022158,9.889811308229463,8.193340883805503,5054
3-BRSA-1069-SES,-1.4331172249627677,12.63927540864065,11.10375623432905,10602
3-BRSA-1163-SES,0.13143104493129698,9.697726846800085,7.369108304080883,8590
3-BRSA-1178D-SES,-1.403067467297506,16.66013517866059,13.36164000190861,3436
3-BRSA-1180D-SES,-0.12142345582486747,14.365085134002735,12.11634826101307,12931
3-BRSA-1194-SES,-0.3772267920069572,12.198695625866739,10.101078103688248,3846
3-BRSA-1207-SES,-5.91386590879878,28.69511977528769,26.499279499920014,8058
3-BRSA-1234D-SES,-1.21191385260901,12.943309872743766,11.52105428633991,5799
3-BRSA-1239-SES,-0.21802782793009534,10.437515825989927,8.730403265698627,7777
3-BRSA-1244-SES,-0.044844626775808916,9.550800907825113,7.919772571885464,10123
3-BRSA-1248D-SES,0.08796392792098318,9.978777564495472,7.8840939889769475,13658
3-BRSA-1251-SES,-1.989210265741273,15.924269832297616,14.097647013539177,6031
3-BRSA-1286-SES,-1.6410690366462743,12.604959209522686,11.63658998130174,5472
3-BRSA-1296-SES,0.04509775567533458,10.534302853329587,8.277661978996582,5233
3-BRSA-1297-SES,-0.47954363313403525,10.948700996018813,8.915426131163146,8829
3-BRSA-1297A-SES,-0.22036188761539655,10.63517663537334,8.875664421472067,8797
3-BRSA-1303-SES,-0.6002064471875184,11.082415246703038,9.865274145435983,7659
3-BRSA-1333-SES,0.3230448329533938,7.852727800224034,6.43915420383865,7260
3-BRSA-1367-SES,-5.3795797288813674e-05,13.269920664010591,11.426169328269328,9791
3-BRSA-1371-SES,0.45366619365825755,10.54263727216143,9.16784079092247,8792
4-BRSA-197-SES,-0.6166027636251463,11.224200663452413,8.51890256672055,4516
9-BRSA-1278A-SES,-0.24894783877482962,16.89943608792142,15.134285937135534,11119
9-BRSA-1280D-SES,0.4282258393102296,11.377291545254112,9.947934655950899,21838
