Method,Mean,Lower_CI,Upper_CI,Width
XGBoost,0.797340898044955,0.7466544456179682,0.8480273504719418,0.10137290485397354
HistGB,0.7971314880625097,0.7450713775456588,0.8491915985793606,0.10412022103370178
LightGBM,0.7944352122927197,0.7416359513748821,0.8472344732105573,0.1055985218356752
RandomForest,0.7929848409558617,0.7385141697599252,0.8474555121517983,0.10894134239187303
MLP,0.6955875888846133,0.6046627749575565,0.78651240281167,0.18184962785411352
CNN,0.6763594475256727,0.5750727703599514,0.7776461246913939,0.20257335433144252
